"clus_ward_cut","departement"
1,"01"
2,"02"
3,"03"
1,"04"
1,"05"
1,"06"
4,"2A"
4,"2B"
3,"07"
2,"08"
5,"09"
2,"10"
6,"11"
5,"12"
6,"13"
7,"14"
3,"15"
5,"16"
5,"17"
2,"18"
7,"19"
2,"21"
7,"22"
7,"23"
5,"24"
2,"25"
1,"26"
2,"27"
2,"28"
7,"29"
6,"30"
5,"31"
5,"32"
5,"33"
6,"34"
7,"35"
2,"36"
2,"37"
1,"38"
2,"39"
5,"40"
2,"41"
3,"42"
3,"43"
7,"44"
2,"45"
5,"46"
5,"47"
3,"48"
7,"49"
7,"50"
2,"51"
2,"52"
7,"53"
2,"54"
2,"55"
7,"56"
2,"57"
2,"58"
2,"59"
2,"60"
7,"61"
2,"62"
3,"63"
5,"64"
5,"65"
6,"66"
2,"67"
2,"68"
3,"69"
2,"70"
2,"71"
2,"72"
1,"73"
1,"74"
2,"76"
5,"79"
2,"80"
5,"81"
5,"82"
6,"83"
6,"84"
7,"85"
5,"86"
7,"87"
2,"88"
2,"89"
2,"90"
2,"PARIS"
